Country,Year,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
Albania,2015-01-01,Developing,77.8,74.0,0,4.6,364.9752287,99.0,0,58.0,0,99.0,6.0,99.0,0.1,3954.22783,28873.0,1.2,1.3,0.762,14.2
Albania,2014-01-01,Developing,77.5,8.0,0,4.51,428.7490668,98.0,0,57.2,1,98.0,5.88,98.0,0.1,4575.763787,288914.0,1.2,1.3,0.761,14.2
Albania,2013-01-01,Developing,77.2,84.0,0,4.76,430.8769785,99.0,0,56.5,1,99.0,5.66,99.0,0.1,4414.72314,289592.0,1.3,1.4,0.759,14.2
Albania,2012-01-01,Developing,76.9,86.0,0,5.14,412.4433563,99.0,9,55.8,1,99.0,5.59,99.0,0.1,4247.61438,2941.0,1.3,1.4,0.752,14.2
Albania,2011-01-01,Developing,76.6,88.0,0,5.37,437.0621,99.0,28,55.1,1,99.0,5.71,99.0,0.1,4437.17868,295195.0,1.4,1.5,0.738,13.3
Albania,2010-01-01,Developing,76.2,91.0,1,5.28,41.82275719,99.0,10,54.3,1,99.0,5.34,99.0,0.1,494.358832,291321.0,1.4,1.5,0.725,12.5
Albania,2009-01-01,Developing,76.1,91.0,1,5.79,348.0559517,98.0,0,53.5,1,98.0,5.79,98.0,0.1,4114.136545,2927519.0,1.5,1.6,0.721,12.2
Albania,2008-01-01,Developing,75.3,1.0,1,5.61,36.62206845,99.0,0,52.6,1,99.0,5.87,99.0,0.1,437.539647,2947314.0,1.6,1.6,0.713,12.0
Albania,2007-01-01,Developing,75.9,9.0,1,5.58,32.24655228,98.0,22,51.7,1,99.0,6.1,98.0,0.1,363.13685,29717.0,1.6,1.7,0.703,11.6
Albania,2006-01-01,Developing,74.2,99.0,1,5.31,3.3021542,98.0,68,5.8,1,97.0,5.86,97.0,0.1,35.1293,2992547.0,1.7,1.8,0.696,11.4
Albania,2005-01-01,Developing,73.5,15.0,1,5.16,26.99312143,98.0,6,49.9,1,97.0,6.12,98.0,0.1,279.142931,311487.0,1.8,1.8,0.685,10.8
Albania,2004-01-01,Developing,73.0,17.0,1,4.54,221.8428,99.0,7,48.9,1,98.0,6.38,97.0,0.1,2416.588235,326939.0,1.8,1.9,0.681,10.9
Albania,2003-01-01,Developing,72.8,18.0,1,4.29,14.71928882,97.0,8,47.9,1,97.0,6.27,97.0,0.1,189.681557,339616.0,1.9,2.0,0.674,10.7
Albania,2002-01-01,Developing,73.3,15.0,1,3.73,104.5169157,96.0,16,46.9,1,98.0,6.3,98.0,0.1,1453.642777,3511.0,2.0,2.1,0.67,10.7
Albania,2001-01-01,Developing,73.6,14.0,1,4.25,96.20557078,96.0,18,46.0,1,97.0,6.0,97.0,0.1,1326.97339,36173.0,2.1,2.1,0.662,10.6
Albania,2000-01-01,Developing,72.6,11.0,1,3.66,91.71154052,96.0,662,45.0,1,97.0,6.26,97.0,0.1,1175.788981,38927.0,2.1,2.2,0.656,10.7
Algeria,2009-01-01,Developing,74.4,123.0,20,0.5,352.0636419,94.0,107,52.8,23,94.0,5.36,95.0,0.1,3868.83123,3546576.0,6.0,5.9,0.705,13.1
Algeria,2008-01-01,Developing,74.1,126.0,20,0.46,43.08717334,91.0,217,51.8,23,92.0,4.2,93.0,0.1,495.254866,3486715.0,6.0,5.9,0.697,12.6
Algeria,2000-01-01,Developing,71.3,145.0,21,0.25,154.4559436,80.94046121593291,0,44.4,25,86.0,3.49,86.0,0.1,1757.17797,3118366.0,6.5,6.4,0.636,10.7
Antigua and Barbuda,2015-01-01,Developing,76.4,13.0,0,4.602860787172012,0.0,99.0,0,47.7,0,86.0,5.9381895280235995,99.0,0.2,13566.9541,12753375.120052494,3.3,3.3,0.784,13.9
Antigua and Barbuda,2009-01-01,Developing,75.4,14.0,0,7.82,149.3587355,98.0,0,43.8,0,98.0,4.86,99.0,0.1,1312.46692,12753375.120052494,3.4,3.3,0.788,14.2
Antigua and Barbuda,2008-01-01,Developing,75.2,142.0,0,8.27,180.7762695,98.0,0,43.2,0,99.0,4.69,99.0,0.1,1473.31923,12753375.120052494,3.4,3.3,0.786,14.4
Antigua and Barbuda,2007-01-01,Developing,75.0,144.0,0,8.64,257.9665308,97.0,0,42.6,0,98.0,4.27,99.0,0.1,14252.29452,12753375.120052494,3.4,3.3,0.781,14.5
Antigua and Barbuda,2006-01-01,Developing,74.8,145.0,0,8.93,216.3146941,99.0,0,42.0,0,99.0,4.34,99.0,0.1,12724.39377,12753375.120052494,3.4,3.4,0.773,14.7
Argentina,2006-01-01,Developing,75.2,127.0,11,7.75,961.1774676,84.0,0,57.5,12,92.0,6.68,91.0,0.1,5878.76127,3955889.0,1.1,0.9,0.782,16.1
Argentina,2003-01-01,Developing,74.1,137.0,11,7.62,57.58467352,73.0,0,55.7,13,95.0,8.22,96.0,0.1,333.4376,3839379.0,1.2,1.0,0.77,16.4
Argentina,2002-01-01,Developing,74.1,138.0,12,7.81,470.1869145,66.0,0,55.1,13,94.0,8.31,93.0,0.1,2579.193168,3788937.0,1.2,1.0,0.776,16.3
Argentina,2001-01-01,Developing,74.0,138.0,12,7.76,123.0128671,80.94046121593291,0,54.6,13,85.0,9.38,83.0,0.1,717.694674,3747159.0,1.2,1.1,0.771,15.6
Armenia,2015-01-01,Developing,74.8,118.0,1,4.602860787172012,0.0,94.0,33,54.9,1,96.0,5.9381895280235995,94.0,0.1,369.654776,291695.0,2.1,2.2,0.741,12.7
Armenia,2014-01-01,Developing,74.6,12.0,1,3.91,295.6087143,93.0,13,54.1,1,95.0,4.48,93.0,0.1,3994.712355,29622.0,2.1,2.1,0.739,12.7
Armenia,2013-01-01,Developing,74.4,123.0,1,3.79,279.4290812,95.0,10,53.3,1,96.0,4.55,95.0,0.1,3843.591213,289359.0,2.1,2.1,0.736,12.7
Armenia,2012-01-01,Developing,74.4,121.0,1,3.89,274.1526986,95.0,0,52.6,1,96.0,4.48,95.0,0.1,3684.8481,2881922.0,2.0,2.1,0.732,12.7
Armenia,2011-01-01,Developing,73.9,128.0,1,4.09,260.9963826,95.0,0,51.9,1,96.0,3.71,95.0,0.1,3526.978143,2875581.0,2.0,2.1,0.729,12.7
Armenia,2010-01-01,Developing,73.5,132.0,1,4.23,224.3212014,94.0,2,51.2,1,96.0,4.56,94.0,0.1,3218.381655,2877311.0,2.0,2.1,0.72,12.3
Armenia,2009-01-01,Developing,73.3,137.0,1,3.96,201.1855461,93.0,0,5.7,1,94.0,4.55,93.0,0.1,2993.832531,2888584.0,2.0,2.1,0.725,11.9
Armenia,2008-01-01,Developing,73.2,14.0,1,3.96,2.8888979,89.0,0,5.1,1,91.0,3.8,89.0,0.1,41.26997,29822.0,2.0,2.1,0.721,12.3
Armenia,2006-01-01,Developing,72.9,141.0,1,4.01,244.5352767,78.0,137,49.2,1,87.0,4.58,87.0,0.1,2158.299,29585.0,2.0,2.1,0.692,11.2
Armenia,2003-01-01,Developing,72.7,134.0,1,3.03,7.341493148,93.0,4,48.1,1,96.0,5.56,94.0,0.1,93.1661567,31786.0,2.0,2.1,0.657,10.8
Armenia,2002-01-01,Developing,72.6,134.0,1,2.86,57.17810403,91.0,40,47.8,1,96.0,5.4,94.0,0.1,783.261699,333897.0,2.1,2.1,0.645,10.8
Armenia,2001-01-01,Developing,72.6,141.0,1,2.86,53.19373012,69.0,69,47.4,1,97.0,5.94,94.0,0.1,694.435119,35655.0,2.1,2.1,0.644,11.1
Australia,2007-01-01,Developed,81.3,66.0,1,10.56,872.5986092,94.0,11,62.5,2,92.0,8.53,92.0,0.1,4991.98289,28276.0,0.7,0.6,0.918,19.0
Austria,2013-01-01,Developed,81.1,68.0,0,11.82,90.58501176,95.0,0,56.6,0,95.0,11.14,95.0,0.1,554.71532,8479375.0,1.8,2.0,0.887,15.7
Austria,2006-01-01,Developed,79.8,81.0,0,12.4,69.92899358,83.0,23,53.2,0,83.0,1.35,83.0,0.1,443.99361,8268641.0,1.7,1.9,0.854,15.0
Austria,2003-01-01,Developed,78.8,88.0,0,12.2,504.4308735,83.0,90,51.7,0,84.0,1.48,84.0,0.1,3212.9355,8121423.0,1.7,1.9,0.837,14.7
Azerbaijan,2015-01-01,Developing,72.7,118.0,5,4.602860787172012,0.0,96.0,0,52.5,6,98.0,5.9381895280235995,96.0,0.1,55.31382,9649341.0,2.8,2.9,0.758,12.7
Azerbaijan,2014-01-01,Developing,72.5,119.0,5,0.01,306.1824313,94.0,0,51.5,6,97.0,6.4,94.0,0.1,7891.299776,953579.0,2.8,2.9,0.752,12.2
Azerbaijan,2013-01-01,Developing,72.2,121.0,5,2.14,275.6514934,93.0,164,5.6,6,96.0,5.54,93.0,0.1,7875.756953,941681.0,2.8,2.8,0.745,11.9
Azerbaijan,2012-01-01,Developing,71.9,123.0,5,0.01,285.6103912,88.0,0,49.7,6,92.0,5.37,89.0,0.1,7496.335728,9295784.0,2.8,2.8,0.742,11.8
Azerbaijan,2011-01-01,Developing,71.6,125.0,5,1.98,263.142699,84.0,0,48.8,6,91.0,5.1,87.0,0.1,7189.691229,917382.0,2.8,2.9,0.741,11.7
Azerbaijan,2009-01-01,Developing,78.0,132.0,6,2.1,22.48638351,74.0,0,47.3,6,84.0,5.85,81.0,0.1,495.294791,8947243.0,2.8,2.9,0.728,11.6
Azerbaijan,2008-01-01,Developing,73.0,141.0,6,1.18,206.2616134,68.0,5,46.6,6,85.0,4.37,81.0,0.1,5574.6382,87634.0,2.8,2.9,0.719,11.6
Azerbaijan,2007-01-01,Developing,73.0,14.0,6,1.02,176.0107106,62.0,0,45.9,7,81.0,5.1,79.0,0.1,3851.437869,85813.0,2.8,2.9,0.708,11.6
Azerbaijan,2001-01-01,Developing,67.5,151.0,8,0.51,4.104190077,80.94046121593291,574,42.6,10,77.0,4.48,77.0,0.1,73.6838434,81112.0,3.1,3.1,0.642,10.4
Azerbaijan,2000-01-01,Developing,66.6,16.0,9,0.65,35.09462644,80.94046121593291,210,42.1,11,75.0,4.67,76.0,0.1,655.974326,8486.0,3.2,3.1,0.636,10.1
Bahamas,2015-01-01,Developing,76.1,147.0,0,4.602860787172012,0.0,95.0,0,64.5,0,95.0,5.9381895280235995,95.0,0.1,7483.158469138474,12753375.120052494,2.5,2.5,0.79,12.6
Bahamas,2014-01-01,Developing,75.4,16.0,0,9.45,0.0,96.0,0,63.8,0,96.0,7.74,96.0,0.1,7483.158469138474,12753375.120052494,2.5,2.5,0.789,12.6
Bahamas,2013-01-01,Developing,74.8,172.0,0,9.42,0.0,97.0,0,63.2,0,97.0,7.5,97.0,0.1,7483.158469138474,12753375.120052494,2.5,2.5,0.79,12.6
Bahamas,2012-01-01,Developing,74.9,167.0,0,9.5,0.0,96.0,0,62.6,0,99.0,7.43,98.0,0.2,7483.158469138474,12753375.120052494,2.5,2.5,0.789,12.6
Bahamas,2011-01-01,Developing,75.0,162.0,0,9.34,0.0,95.0,0,62.0,0,97.0,7.63,98.0,0.1,7483.158469138474,12753375.120052494,2.5,2.5,0.788,12.6
Bahamas,2010-01-01,Developing,75.0,161.0,0,9.19,0.0,98.0,0,61.3,0,97.0,7.44,99.0,0.2,7483.158469138474,12753375.120052494,2.5,2.5,0.788,12.6
Bahamas,2009-01-01,Developing,74.6,168.0,0,9.29,0.0,95.0,0,6.7,0,97.0,7.43,96.0,0.1,7483.158469138474,12753375.120052494,2.5,2.5,0.791,12.6
Bahamas,2007-01-01,Developing,74.4,167.0,0,10.75,0.0,93.0,0,59.4,0,95.0,7.8,95.0,0.1,7483.158469138474,12753375.120052494,2.5,2.5,0.79,12.5
